1	0	0	0
1	1	4652.5	-25.9
2	0	0	0
2	1	-5181.6	-52.308
2	2	-636.18	-19.399
3	0	0	0
3	1	-251.38	18.371
3	2	468.44	-2.1301
3	3	-429.6	0.39528
4	0	0	0
4	1	1560	-0.5534
4	2	-619.84	25.435
4	3	417.7	7.5299
4	4	-258.61	-3.6975
5	0	0	0
5	1	484.95	0
5	2	1600.8	19.213
5	3	-570.39	-2.8237
5	4	71.659	6.6556
5	5	69.384	0.21047
6	0	0	0
6	1	-361.05	0
6	2	375.1	-23.911
6	3	526.04	-12.952
6	4	-351.97	4.3655
6	5	20.709	0
6	6	45.742	0.67169
7	0	0	0
7	1	-1826.7	21.282
7	2	-489.44	17.376
7	3	45.052	-16.383
7	4	290.2	-2.4698
7	5	-13.584	-6.7919
7	6	-65.874	0.24218
7	7	-1.1651	0.19418
8	0	0	0
8	1	563.06	-13.406
8	2	-858.06	33.649
8	3	530.17	-8.2839
8	4	-312.81	13.368
8	5	220.98	-4.4492
8	6	24.715	-2.7461
8	7	-17.297	1.2534
8	8	1.7548	0
9	0	0	0
9	1	-2981.2	0
9	2	1195.2	0
9	3	813.23	0
9	4	-287.52	0
9	5	-212.25	0
9	6	135.7	0
9	7	3.0134	0
9	8	-3.6176	0
9	9	5.8469	0
10	0	0	0
10	1	827.17	0
10	2	-42.138	0
10	3	595.01	0
10	4	560.98	0
10	5	-635.67	0
10	6	-4.132	0
10	7	-86.186	0
10	8	-27.821	0
10	9	-0.26548	0
10	10	-5.2239	0
11	0	0	0
11	1	0	0
11	2	1022.6	0
11	3	-196.78	0
11	4	-95.806	0
11	5	95.054	0
11	6	-18.824	0
11	7	-84.327	0
11	8	-36.416	0
11	9	-26.445	0
11	10	-5.4407	0
11	11	-1.5079	0
12	0	0	0
12	1	-1076.4	0
12	2	397.56	0
12	3	908.91	0
12	4	-876.45	0
12	5	33.402	0
12	6	166.64	0
12	7	-23.411	0
12	8	35.116	0
12	9	5.1087	0
12	10	-8.4892	0
12	11	0	0
12	12	0.28388	0
13	0	0	0
13	1	-1557.2	0
13	2	928.51	0
13	3	1796.4	0
13	4	-393.65	0
13	5	-904.64	0
13	6	-45.155	0
13	7	80.141	0
13	8	-14.279	0
13	9	34.036	0
13	10	14.194	0
13	11	-4.0147	0
13	12	-1.1355	0
13	13	-0.33405	0
