timestamp,dis1,dis2,dis3,vel1,vel2,vel3
790,5273.1,-4206.1,-1986.21,5.24849,4.84738,4.02239
800,7172.12,-658.423,660.101,0.929441,6.55661,4.49745
810,6466.28,3169.64,3093.92,-3.05516,5.86969,3.42963
820,3850.93,6119.36,4651.15,-5.36671,3.84329,1.72749
830,343.121,7724.08,5177.25,-6.10107,1.50861,0.0626517
840,-3247.85,7967.2,4785.36,-5.71564,-0.648578,-1.31174
850,-6364.26,7017.01,3673.29,-4.56555,-2.45255,-2.33315
860,-8617.48,5109.43,2058.08,-2.86553,-3.82992,-2.98566
870,-9718.98,2520.43,168.205,-0.744389,-4.70923,-3.24146
880,-9447.75,-418.074,-1741.01,1.68969,-4.9681,-3.03589
890,-7663.12,-3276,-3361.47,4.25702,-4.39716,-2.25773
900,-4393.48,-5470.2,-4309.84,6.53603,-2.70553,-0.779397
910,-56.7593,-6260.1,-4159.19,7.61232,0.273107,1.36684
920,4239.34,-5002.09,-2655.04,6.21855,3.89942,3.55787
930,6879.06,-1826.85,-136.703,2.29234,6.31606,4.54904
940,6917.11,2070.46,2454.24,-2.02073,6.28214,3.85114
950,4761.16,5365.54,4301.9,-4.86473,4.52379,2.23757
960,1420.4,7391.7,5121.31,-6.02136,2.20655,0.517382
970,-2214.5,8031.53,4973.98,-5.9229,-0.0333172,-0.954173
980,-5517.87,7416.39,4045.45,-4.97019,-1.95438,-2.07936
990,-8059.62,5768.11,2550.95,-3.41617,-3.46674,-2.83802
1000,-9527.2,3350.84,715.564,-1.40931,-4.5053,-3.21013
1010,-9681.45,476.556,-1215.3,0.943347,-4.96762,-3.14447
1020,-8353.94,-2459.69,-2952.26,3.49647,-4.67351,-2.54445
1030,-5507.53,-4925.98,-4136.05,5.92598,-3.34984,-1.28034
1040,-1411.79,-6220.42,-4343.62,7.48904,-0.746479,0.695511
1050,3054.23,-5615.74,-3232.57,6.94018,2.83635,2.98503
1060,6343.65,-2930.67,-929.461,3.62542,5.83438,4.44501
1070,7169.8,909.635,1746.61,-0.840783,6.53751,4.19772
1080,5568.54,4492.07,3863.88,-4.20911,5.15972,2.74485
1090,2474.17,6932.16,4984.73,-5.83199,2.9155,0.996437
1100,-1150.56,7982.27,5098.74,-6.05694,0.612599,-0.566784
1110,-4604.12,7722.92,4371.71,-5.32344,-1.41874,-1.7958
1120,-7407.53,6357.88,3015.89,-3.92752,-3.06103,-2.65992
1130,-9220.11,4140.17,1254.26,-2.04303,-4.25016,-3.14435
1140,-9784.04,1365.18,-675.249,0.217255,-4.89994,-3.20999
1150,-8908.11,-1601.89,-2499.14,2.73004,-4.85735,-2.77526
1160,-6505.15,-4276.27,-3881.5,5.24568,-3.87527,-1.71681
1170,-2726.17,-6005.33,-4414.07,7.17617,-1.66682,0.0599354
1180,1764.65,-6032.05,-3703.11,7.39339,1.7229,2.34141
1190,5578.28,-3927.06,-1690.26,4.85026,5.12505,4.18179
1200,7200.74,-281.026,986.513,0.452894,6.59787,4.44082
1210,6244.72,3509.33,3338.63,-3.39147,5.72279,3.23354
1220,3483.69,6344.33,4763.43,-5.51931,3.62398,1.49544
1230,-69.788,7814.15,5154.42,-6.10847,1.28547,-0.149894
1240,-3632.52,7929.94,4646.92,-5.62012,-0.847069,-1.48218
1250,-6668.42,6871.21,3447.76,-4.39675,-2.61443,-2.4517
1260,-8803.49,4879.53,1778.63,-2.64334,-3.94698,-3.04571
1270,-9759.59,2236.27,-127.911,-0.484616,-4.77081,-3.23557
1280,-9325.73,-718.497,-2011.41,1.9681,-4.95719,-2.95432
1290,-7376.29,-3541.96,-3557.49,4.52007,-4.2883,-2.08991
1300,-3969.63,-5634.38,-4378.45,6.71373,-2.47181,-0.52462
1310,418.673,-6247.44,-4057.75,7.58373,0.619018,1.66518
1320,4609.17,-4777.81,-2391.92,5.89426,4.22524,3.77143
1330,6993.72,-1463.36,194.464,1.80962,6.43266,4.55332
1340,6760.39,2433.33,2730.91,-2.41067,6.17897,3.68302
1350,4425.68,5629.52,4454.31,-5.06931,4.31634,2.00756
1360,1012.22,7522.63,5135.89,-6.06677,1.98003,0.295513
1370,-2613.61,8031.04,4865.88,-5.85398,-0.241143,-1.13819
1380,-5850.03,7300.87,3841.48,-4.82051,-2.12836,-2.21345
1390,-8283.5,5560.52,2283.23,-3.20804,-3.59836,-2.91533
1400,-9612.81,3079.25,420.162,-1.15916,-4.58511,-3.22382
1410,-9608.49,176.122,-1497.66,1.21842,-4.98086,-3.08566
1420,-8114.88,-2742.59,-3174.89,3.76875,-4.59724,-2.4025
1430,-5118.94,-5129.05,-4246.74,6.13903,-3.15553,-1.04964
1440,-938.556,-6268.19,-4294.03,7.53611,-0.427125,0.98988
1450,3474.11,-5453.22,-3010.7,6.70293,3.19054,3.24019
1460,6543.23,-2594.87,-604.682,3.16168,6.02637,4.51464
1470,7086.97,1286.71,2049.51,-1.27701,6.48999,4.06804
1480,5274.4,4792.26,4055.66,-4.46889,4.97189,2.52266
1490,2077.83,7104.34,5038.22,-5.9196,2.68884,0.767411
1500,-1559.16,8020.18,5023.29,-6.01755,0.396686,-0.763621
1510,-4960.74,7639.83,4191.92,-5.19474,-1.60412,-1.94501
1520,-7666.68,6175.17,2762.78,-3.73476,-3.20642,-2.75398
1530,-9348.86,3884.33,962.839,-1.80382,-4.34691,-3.17686
1540,-9759.28,1068.91,-965.749,0.486791,-4.93527,-3.17289
1550,-8717.93,-1896.1,-2743.95,3.0068,-4.81095,-2.65834
1560,-6157.15,-4511.21,-4029.86,5.48441,-3.71918,-1.51169
1570,-2267.54,-6107.97,-4414.72,7.2865,-1.38183,0.34156
1580,2218.45,-5934.63,-3528.48,7.24751,2.08525,2.62365
1590,5857.02,-3632.11,-1383.35,4.43144,5.3851,4.31591
1600,7199.02,99.153,1308.03,-0.016455,6.61691,4.36021
1610,6001.95,3841.38,3567.9,-3.70794,5.56411,3.02651
1620,3107.06,6557.46,4856.92,-5.65351,3.40147,1.26221
1630,-482.379,7891.82,5113.79,-6.10198,1.06311,-0.358535
1640,-4009.73,7881.31,4493.89,-5.51453,-1.04309,-1.64607
1650,-6959.99,6715.83,3212.09,-4.22078,-2.77287,-2.56208
1660,-8973.31,4642.4,1494.33,-2.41632,-4.05958,-3.09636
1670,-9781.83,1947.99,-422.921,-0.222432,-4.82644,-3.21922
1680,-9184.8,-1018.85,-2274.16,2.24561,-4.93808,-2.86143
1690,-7072.64,-3802.06,-3738.98,4.77651,-4.16829,-1.91079
1700,-3535.72,-5785.29,-4426.47,6.87468,-2.22517,-0.261803
1710,890.214,-6214.97,-3933.79,7.52582,0.971746,1.96024
1720,4956.86,-4534.87,-2113.72,5.54302,4.53904,3.96352
1730,7077.42,-1092.9,525.183,1.32637,6.52594,4.53108
1740,6579.06,2791.02,2994.36,-2.78243,6.06052,3.50008
1750,4077.45,5882.38,4588.28,-5.25436,4.10364,1.77411
1760,601.794,7641.08,5132.06,-6.09693,1.75343,0.0764514
1770,-3007.12,8018.75,4742.1,-5.77396,-0.446888,-1.31624
1780,-6170.92,7175.14,3626,-4.66289,-2.29917,-2.33975
1790,-8492.11,5344.89,2009.08,-2.99444,-3.72586,-2.98355
1800,-9680.56,2802.47,124.104,-0.905871,-4.65947,-3.22735
1810,-9516.61,-125.669,-1774.29,1.49371,-4.98665,-3.01576
1820,-7858.06,-3021.57,-3384.97,4.03647,-4.51072,-2.24912
1830,-4717.66,-5321.19,-4338.41,6.33891,-2.94841,-0.80942
1840,-464.277,-6297.67,-4221.76,7.55724,-0.0976763,1.28536
